time,open,high,low,close,volume
2021-04-09 18:30:00,135.31,135.31,135.31,135.31,364
2021-04-09 17:00:00,135.45,135.45,135.45,135.45,1018
2021-04-09 16:45:00,135.67,135.67,135.67,135.67,1114
2021-04-09 16:30:00,135.65,135.65,135.65,135.65,973
2021-04-09 16:15:00,135.73,135.73,135.4,135.62,46959
2021-04-09 16:00:00,135.475,135.74,135.4391,135.73,459643
2021-04-09 15:45:00,135.41,135.64,135.395,135.475,171363
2021-04-09 15:30:00,135.22,135.41,135.22,135.4,91550
2021-04-09 15:15:00,135.22,135.31,135.18,135.22,77211
2021-04-09 15:00:00,135.16,135.28,135.16,135.23,65520
2021-04-09 14:45:00,135.18,135.18,135.08,135.17,61116
2021-04-09 14:30:00,135.09,135.2,135.04,135.185,50044
2021-04-09 14:15:00,135.09,135.15,135.07,135.09,49749
2021-04-09 14:00:00,135.081,135.18,135.03,135.07,49122
2021-04-09 13:45:00,134.91,135.11,134.91,135.08,85649
2021-04-09 13:30:00,135.08,135.08,134.851,134.92,75581
2021-04-09 13:15:00,135.1132,135.13,135.05,135.09,36459
2021-04-09 13:00:00,135.06,135.14,135.02,135.11,45817
2021-04-09 12:45:00,135.0,135.07,134.9501,135.07,52506
2021-04-09 12:30:00,135.1,135.125,134.97,135.0,53705
2021-04-09 12:15:00,134.98,135.0982,134.95,135.0982,46159
2021-04-09 12:00:00,135.05,135.14,134.98,134.985,49516
2021-04-09 11:45:00,135.0,135.17,135.0,135.05,55137
2021-04-09 11:30:00,135.05,135.07,134.81,134.9632,59809
2021-04-09 11:15:00,135.02,135.1,134.93,135.04,66505
2021-04-09 11:00:00,135.04,135.0799,134.84,135.04,86906
2021-04-09 10:45:00,135.19,135.22,135.01,135.045,74920
2021-04-09 10:30:00,135.275,135.3,135.06,135.2,69863
2021-04-09 10:15:00,135.175,135.42,135.05,135.25,84370
2021-04-09 10:00:00,135.03,135.33,134.9575,135.12,141452
2021-04-09 09:45:00,134.87,135.6,134.71,135.11,459386
