datetime,price,signal,pnl
2021-03-12 04:05:00,119.9,0,0.0
2021-03-12 04:10:00,120.11,0,0.0
2021-03-12 04:15:00,119.84,0,0.0
2021-03-12 04:20:00,119.85,0,0.0
2021-03-12 04:25:00,119.83,0,0.0
2021-03-12 04:30:00,119.81,0,0.0
2021-03-12 04:35:00,119.9,0,0.0
2021-03-12 04:40:00,119.88,0,0.0
2021-03-12 04:45:00,119.91,0,0.0
2021-03-12 04:50:00,119.85,0,0.0
2021-03-12 04:55:00,119.59,-1,0.0
2021-03-12 05:00:00,119.68,-1,-0.09000000000000341
2021-03-12 05:05:00,119.54,-1,0.18999999999999773
2021-03-12 05:10:00,119.59,-1,0.04000000000000625
2021-03-12 05:15:00,119.62,-1,-0.0799999999999983
2021-03-12 05:20:00,119.65,0,-0.23000000000000398
2021-03-12 05:30:00,119.6,-1,0.020000000000052864
2021-03-12 05:35:00,119.6,-1,0.020000000000052864
2021-03-12 05:40:00,119.92,0,-2.219999999999999
2021-03-12 05:45:00,119.93,0,-2.2900000000000347
2021-03-12 05:50:00,119.9,0,-2.0800000000000267
2021-03-12 05:55:00,119.73,0,-0.8900000000000148
2021-03-12 06:00:00,119.86,0,-1.799999999999983
2021-03-12 06:05:00,119.77,0,-1.169999999999959
2021-03-12 06:10:00,119.66,0,-0.39999999999996305
2021-03-12 06:15:00,119.88,0,-1.939999999999955
2021-03-12 06:20:00,119.93,0,-2.2900000000000347
2021-03-12 06:25:00,119.78,0,-1.2399999999999949
2021-03-12 06:30:00,119.82,0,-1.5199999999999392
2021-03-12 06:35:00,119.9,0,-2.0800000000000267
2021-03-12 06:40:00,120.15,1,-3.8300000000000267
2021-03-12 06:45:00,120.12,1,-3.65000000000002
2021-03-12 06:50:00,120.06,1,-3.3500000000000085
2021-03-12 06:55:00,120.08,1,-3.4299999999999926
2021-03-12 07:00:00,120.0,1,-3.1899999999999977
2021-03-12 07:05:00,120.4,1,-3.990000000000009
2021-03-12 07:10:00,120.43,1,-4.02000000000001
2021-03-12 07:15:00,120.34,1,-4.02000000000001
2021-03-12 07:20:00,120.5,1,-3.8600000000000136
2021-03-12 07:25:00,120.4,1,-4.060000000000002
2021-03-12 07:30:00,120.43,1,-3.969999999999999
2021-03-12 07:35:00,120.25,1,-4.690000000000026
2021-03-12 07:40:00,120.39,1,-3.9900000000000233
2021-03-12 07:45:00,120.35,1,-4.230000000000061
2021-03-12 07:50:00,120.46,1,-3.460000000000065
2021-03-12 07:55:00,120.46,1,-3.460000000000065
2021-03-12 08:00:00,120.51,1,-3.0099999999999625
2021-03-12 08:05:00,120.62,1,-1.9099999999999682
2021-03-12 08:10:00,120.3099,1,-5.32110000000003
2021-03-12 08:15:00,120.28,0,-5.6799000000000035
2021-03-12 08:20:00,120.43,1,-3.8798999999999353
2021-03-12 08:25:00,120.23,0,-6.479899999999972
2021-03-12 08:30:00,120.41,1,-4.139900000000068
2021-03-12 08:35:00,120.39,1,-4.419900000000013
2021-03-12 08:40:00,120.48,1,-3.0698999999999614
2021-03-12 08:45:00,120.4,1,-4.349899999999934
2021-03-12 08:50:00,120.33,0,-5.53990000000006
2021-03-12 08:55:00,120.2,0,-7.7498999999999825
2021-03-12 09:00:00,120.15,0,-8.599899999999934
2021-03-12 09:05:00,120.0399,0,-10.471599999999981
2021-03-12 09:10:00,120.16,0,-8.429900000000089
2021-03-12 09:15:00,119.97,0,-11.65990000000005
2021-03-12 09:20:00,120.06,0,-10.129899999999992
2021-03-12 09:25:00,120.07,0,-9.959900000000147
2021-03-12 09:30:00,120.45,1,-3.4998999999999825
2021-03-12 09:35:00,119.87,0,-13.939899999999952
2021-03-12 09:40:00,119.3399,-1,-23.481700000000032
2021-03-12 09:45:00,119.6,-1,-19.06000000000013
2021-03-12 09:50:00,119.54,-1,-20.01999999999994
2021-03-12 09:55:00,119.85,0,-15.370000000000118
2021-03-12 10:00:00,119.94,0,-14.020000000000067
2021-03-12 10:05:00,119.985,0,-13.345000000000041
2021-03-12 10:10:00,120.03,0,-12.670000000000016
2021-03-12 10:15:00,119.7897,0,-16.27450000000009
2021-03-12 10:20:00,119.62,-1,-18.819999999999965
2021-03-12 10:25:00,119.54,-1,-19.93999999999994
2021-03-12 10:30:00,119.42,-1,-21.5
2021-03-12 10:35:00,119.62,-1,-19.099999999999966
2021-03-12 10:40:00,119.61,-1,-19.210000000000022
2021-03-12 10:45:00,119.84,0,-16.909999999999982
2021-03-12 10:50:00,119.8956,0,-16.354
2021-03-12 10:55:00,119.555,-1,-19.75999999999995
2021-03-12 11:00:00,119.595,-1,-19.40000000000002
2021-03-12 11:05:00,119.485,-1,-20.280000000000015
2021-03-12 11:10:00,119.55,-1,-19.82500000000003
2021-03-12 11:15:00,119.63,-1,-19.34500000000004
2021-03-12 11:20:00,119.67,0,-19.14500000000001
2021-03-12 11:25:00,119.865,0,-18.170000000000044
2021-03-12 11:30:00,119.815,0,-18.42000000000003
2021-03-12 11:35:00,119.66,0,-19.195000000000036
2021-03-12 11:40:00,119.865,0,-18.170000000000044
2021-03-12 11:45:00,120.04,0,-17.294999999999987
2021-03-12 11:50:00,120.1,0,-16.995000000000047
2021-03-12 11:55:00,120.07,0,-17.145000000000053
2021-03-12 12:00:00,120.11,0,-16.94500000000002
2021-03-12 12:05:00,120.22,0,-16.395000000000024
2021-03-12 12:10:00,120.245,0,-16.269999999999996
2021-03-12 12:15:00,120.6401,1,-14.2945
2021-03-12 12:20:00,120.7295,1,-13.758100000000013
2021-03-12 12:25:00,120.67,1,-14.174600000000012
2021-03-12 12:30:00,120.8408,1,-12.808200000000014
2021-03-12 12:35:00,121.03,1,-11.105400000000017
2021-03-12 12:40:00,120.93,1,-12.10539999999996
2021-03-12 12:45:00,120.75,1,-14.085400000000035
2021-03-12 12:50:00,120.7593,1,-13.973800000000082
2021-03-12 12:55:00,120.58,1,-16.304700000000054
2021-03-12 13:00:00,120.6808,1,-14.89349999999996
2021-03-12 13:05:00,120.5,1,-17.605500000000035
2021-03-12 13:10:00,120.662,1,-15.013499999999937
2021-03-12 13:15:00,120.563,1,-16.6965
2021-03-12 13:20:00,120.69,1,-14.410500000000084
2021-03-12 13:25:00,120.66,1,-14.980500000000106
2021-03-12 13:30:00,120.8967,1,-10.246500000000125
2021-03-12 13:35:00,120.86,1,-11.017200000000045
2021-03-12 13:40:00,120.965,1,-8.707199999999958
2021-03-12 13:45:00,120.84,1,-11.582199999999958
2021-03-12 13:50:00,120.6493,1,-16.15900000000012
2021-03-12 13:55:00,120.7299,1,-14.14400000000002
2021-03-12 14:00:00,120.642,1,-16.429400000000143
2021-03-12 14:05:00,120.591,1,-17.806400000000195
2021-03-12 14:10:00,120.6384,1,-16.479199999999906
2021-03-12 14:15:00,120.715,1,-14.257799999999932
2021-03-12 14:20:00,120.7417,1,-13.4568000000002
2021-03-12 14:25:00,120.55,0,-19.399500000000117
2021-03-12 14:30:00,120.59,1,-18.159499999999923
2021-03-12 14:35:00,120.56,1,-19.11949999999996
2021-03-12 14:40:00,120.555,0,-19.28449999999981
2021-03-12 14:45:00,120.8399,1,-9.882800000000032
2021-03-12 14:50:00,120.79,1,-11.579399999999822
2021-03-12 14:55:00,120.77,1,-12.27940000000018
2021-03-12 15:00:00,120.76,1,-12.639399999999853
2021-03-12 15:05:00,120.55,0,-20.409400000000147
2021-03-12 15:10:00,120.585,0,-19.114400000000273
2021-03-12 15:15:00,120.72,1,-14.119400000000084
2021-03-12 15:20:00,120.7801,1,-11.835599999999872
2021-03-12 15:25:00,120.855,1,-8.91449999999989
2021-03-12 15:30:00,120.755,1,-12.914500000000231
2021-03-12 15:35:00,120.81,1,-10.659499999999952
2021-03-12 15:40:00,121.1259,1,2.608300000000014
2021-03-12 15:45:00,120.945,1,-5.170400000000342
2021-03-12 15:50:00,120.865,1,-8.690400000000267
2021-03-12 15:55:00,120.79,1,-12.065399999999755
2021-03-12 16:00:00,121.05,1,-0.10540000000017358
2021-03-12 16:05:00,121.0,1,-2.45540000000004
2021-03-12 16:10:00,120.95,1,-4.855399999999904
2021-03-12 16:15:00,121.03,1,-0.9353999999999871
2021-03-12 16:20:00,120.99,1,-2.9354000000002998
2021-03-12 16:25:00,120.99,1,-2.9354000000002998
2021-03-12 16:30:00,120.99,1,-2.9354000000002998
2021-03-12 16:35:00,121.03,1,-0.8153999999999684
2021-03-12 16:40:00,120.97,1,-4.055400000000091
2021-03-12 16:45:00,121.0,1,-2.4054000000000286
2021-03-12 16:50:00,121.03,1,-0.725399999999965
2021-03-12 16:55:00,121.03,1,-0.725399999999965
2021-03-12 17:00:00,121.01,1,-1.8853999999997342
2021-03-12 17:05:00,121.0,1,-2.475400000000036
2021-03-12 17:10:00,121.0,1,-2.475400000000036
2021-03-12 17:15:00,121.03,1,-0.6453999999999667
2021-03-12 17:20:00,121.01,1,-1.88539999999972
2021-03-12 17:25:00,121.03,1,-0.6253999999999706
2021-03-12 17:30:00,121.01,1,-1.905399999999716
2021-03-12 17:35:00,121.02,1,-1.2554000000003072
2021-03-12 17:40:00,121.02,1,-1.2554000000003072
2021-03-12 17:45:00,121.04,1,0.08460000000037837
2021-03-12 17:50:00,121.08,1,2.8045999999998372
2021-03-12 17:55:00,121.08,1,2.8045999999998372
2021-03-12 18:00:00,121.11,1,4.904599999999917
2021-03-12 18:05:00,121.1,1,4.194599999999554
2021-03-12 18:10:00,121.08,1,2.75459999999984
2021-03-12 18:15:00,121.06,1,1.2946000000001305
2021-03-12 18:20:00,121.06,1,1.2946000000001305
2021-03-12 18:25:00,121.05,1,0.5445999999997468
2021-03-12 18:30:00,120.98,1,-4.775399999999735
2021-03-12 18:35:00,120.97,1,-5.545400000000129
2021-03-12 18:40:00,121.03,1,-0.8653999999999513
2021-03-12 18:45:00,121.0,1,-3.235400000000041
2021-03-12 18:50:00,121.01,1,-2.435399999999632
2021-03-12 18:55:00,121.05,1,0.8045999999997235
2021-03-12 19:00:00,121.09,1,4.084600000000236
2021-03-12 19:05:00,121.09,1,4.084600000000236
2021-03-12 19:10:00,120.99,1,-4.31540000000048
2021-03-12 19:15:00,121.0,1,-3.465400000000045
2021-03-12 19:20:00,121.0,1,-3.465400000000045
2021-03-12 19:25:00,121.07,1,2.6245999999993614
2021-03-12 19:30:00,121.03,1,-0.8953999999999382
2021-03-12 19:35:00,121.02,1,-1.7854000000003936
2021-03-12 19:40:00,121.02,1,-1.7854000000003936
2021-03-12 19:45:00,121.03,1,-0.875399999999928
2021-03-12 19:50:00,121.07,1,2.80459999999934
2021-03-12 19:55:00,121.07,1,2.80459999999934
2021-03-12 20:00:00,121.08,1,3.7445999999998207
2021-03-15 04:05:00,120.61,0,-40.90540000000007
2021-03-15 04:10:00,121.32,0,26.544599999999335
2021-03-15 04:15:00,121.17,0,12.294600000000145
2021-03-15 04:20:00,121.2,0,15.144600000000253
2021-03-15 04:25:00,121.24,0,18.944599999999497
2021-03-15 04:35:00,121.25,0,19.894599999999983
2021-03-15 04:40:00,121.27,0,21.794599999999605
2021-03-15 04:45:00,121.5,1,43.64459999999998
2021-03-15 04:50:00,121.43,0,36.92460000000064
2021-03-15 04:55:00,121.41,0,35.004599999999655
2021-03-15 05:00:00,121.55,1,48.44459999999971
2021-03-15 05:05:00,121.59,1,52.324600000000316
2021-03-15 05:10:00,121.55,0,48.404599999999704
2021-03-15 05:15:00,121.65,1,58.20460000000054
2021-03-15 05:20:00,121.6,0,53.254599999999414
2021-03-15 05:25:00,121.7,1,63.15460000000026
2021-03-15 05:30:00,121.65,0,58.15460000000054
2021-03-15 05:35:00,121.65,0,58.15460000000054
2021-03-15 05:40:00,121.83,1,76.1545999999998
2021-03-15 05:45:00,121.85,1,78.1745999999994
2021-03-15 05:50:00,121.9,1,83.27460000000056
2021-03-15 05:55:00,121.88,1,81.2145999999995
2021-03-15 06:00:00,121.7,0,62.494600000000275
2021-03-15 06:05:00,121.71,0,63.53459999999933
2021-03-15 06:10:00,121.7,0,62.494600000000275
2021-03-15 06:15:00,121.55,0,46.894599999999684
2021-03-15 06:20:00,121.45,0,36.494600000000275
2021-03-15 06:25:00,121.44,0,35.45459999999974
2021-03-15 06:30:00,121.61,0,53.13459999999992
2021-03-15 06:35:00,121.3,0,20.894599999999684
2021-03-15 06:40:00,121.37,0,28.174600000000453
2021-03-15 06:45:00,121.68,0,60.41460000000069
2021-03-15 06:50:00,121.61,0,53.13459999999992
2021-03-15 06:55:00,121.52,0,43.774599999999566
2021-03-15 07:00:00,121.5,0,41.69459999999998
2021-03-15 07:05:00,121.79,1,71.85460000000063
2021-03-15 07:10:00,121.85,1,78.15459999999938
2021-03-15 07:15:00,121.84,1,77.09460000000034
2021-03-15 07:20:00,121.74,0,66.39459999999943
2021-03-15 07:25:00,121.52,0,42.85459999999955
2021-03-15 07:30:00,121.61,0,52.484599999999915
2021-03-15 07:35:00,121.61,0,52.484599999999915
2021-03-15 07:40:00,121.52,0,42.85459999999955
2021-03-15 07:45:00,121.7,0,62.11460000000028
2021-03-15 07:50:00,121.6,0,51.41459999999937
2021-03-15 07:55:00,121.42,0,32.15460000000016
2021-03-15 08:00:00,121.42,0,32.15460000000016
2021-03-15 08:05:00,121.4,0,30.014600000000584
2021-03-15 08:10:00,121.29,-1,18.244600000000645
2021-03-15 08:15:00,121.23,-1,11.884600000000404
2021-03-15 08:20:00,121.12,-1,0.33460000000046364
2021-03-15 08:25:00,121.23,-1,11.774600000000405
